대단원,중단원,년도,문제 내용,모범 답안,해설
건축환경,창호공사,2025년 3회,로이(Low-E) 3중 유리의 정의 및 특징을 간단히 설명하시오.,열적외선을 반사하는 은소재 도막으로 코팅하여 방사율과 열관류율을 낮추고 가시광선 투과율을 높인 3중으로 구성된 유리,로이유리는 단열 성능을 극대화하기 위해 표면에 금속막을 코팅한 고단열 유리입니다.
목구조,목공사,2025년 3회,목구조 1층 마루널 시공순서를 【보기】에서 골라 순서대로 나열하시오. (보기: ①동바리돌 ②동바리 ③멍에 ④장선 ⑤마루널),① -> ② -> ③ -> ④ -> ⑤ (동바리돌 → 동바리 → 멍에 → 장선 → 마루널),하부 기초인 동바리돌부터 시작하여 상부 마루널까지 순서대로 시공합니다.
가설공사,가설공사 일반,2025년 3회,다음 용어를 간단히 설명하시오. (1) 줄쳐보기 (2) 수평규준틀,(1) 줄쳐보기: 공사착공 전에 건축물의 건설 위치를 표시하기 위해 담당원의 입회하에 건축물의 형태에 맞춰 줄을 띄우거나 석회 등으로 선을 그어 보는 것 (2) 수평규준틀: 줄쳐보기를 실시한 후 건축물의 모서리 및 기타 요소에 설치하여 건축물의 위치 및 높이의 기준을 명확히 표시한 가설물,본공사 착수 전 정확한 위치와 레벨을 잡기 위한 필수적인 기준 가설물입니다.
철근콘크리트공사,철근공사,2025년 3회,다음 부재에 알맞은 철근의 정착 위치를 쓰시오. 예시: 기둥 - 기초 (1) 큰보 (2) 작은보 (3) 슬래브,(1) 큰보 - (기둥) (2) 작은보 - (큰보) (3) 슬래브 - (보) 또는 (벽체),부재 간 응력을 전달하기 위해 주근이 지지 부재에 정착되는 위치를 묻는 문제입니다.
콘크리트공사,콘크리트 재료 및 혼화재료,2025년 3회,시공연도 증진을 위하여 공기 연행제 등의 혼화제를 사용하여 인위적으로 발생시킨 공기로 함유량은 비비는 콘크리트량의 3~5% 정도로 한다. (1) 용어 (2) 사용 목적 2가지,(1) 용어: 인트레인드 에어 (Entrained Air) (2) 사용 목적: ① 단위수량 감소 ② 재료분리 감소 ③ 동결융해저항성 증대,AE제 등을 통해 미세한 공기포를 형성하여 콘크리트의 성질을 개선합니다.
기초공사,지반조사 및 흙막이공법,2025년 3회,다음 흙막이벽 공사에서 발생되는 현상을 쓰시오. (1) 히빙 (2) 파이핑 (3) 보일링,(1) 히빙: 점토 지반 흙막이 벽 전면의 토압 차이로 굴착 저면이 부풀어 오르는 현상 (2) 파이핑: 수맥에 의해 사질층 모래가 유출되어 지반 강도가 저하되는 현상 (3) 보일링: 사질토 지반 침투압으로 모래와 물이 솟아오르는 현상,흙막이 공사 시 대표적인 토질 파괴 현상들입니다.
콘크리트공사,콘크리트 성질 및 시험,2025년 3회,슈미트해머 테스트 공법에서 A(타격점 사이의 거리)와 B(구조물 끝에서 타격점까지의 이격거리)의 최소간격을 쓰시오.,(1) A 최소간격: 30mm (2) B 최소간격: 100mm,비파괴 시험 시 정확한 타격을 위한 이격 거리 기준입니다.
철근콘크리트공사,철근콘크리트 구조설계,2025년 3회,구조평면도와 배근도를 참고하여 모멘트를 고려할 때 구조적으로 적합하지 않은 배근도를 고르고 그 이유를 설명하시오.,(1) 적합하지 않은 배근도: (문제에 제시된 부재 번호) (2) 이유: 휨모멘트의 크기에 따른 상·하부근 배근 위치가 부적절함,보의 단부와 중앙부의 휨모멘트 분포에 따른 철근 배치 적절성 검토 문제입니다.
건축적산,입찰 및 계약,2025년 1회,다음이 설명하는 입찰방식의 종류를 쓰시오. (1) 유자격자 모두 참가 (2) 3~7개 시공회사 선정 입찰 (3) 1개 시공회사 선정 입찰,(1) 공개경쟁입찰 (2) 지명경쟁입찰 (3) 특명입찰(수의계약),입찰참가 자격 제한 및 지명 여부에 따른 대표적인 입찰 방식 분류입니다[cite: 3].
건축적산,입찰 및 계약,2025년 1회,BOT(Build-Operate-Transfer) 방식을 설명하시오.,민간이 자금 조달 및 시공 후 일정기간 운영하여 투자금을 회수하고 시설물과 운영권을 공공에 이전하는 방식,사회기반시설(SOC) 민간투자사업의 대표적인 사업 방식입니다[cite: 3].
마감공사,커튼월공사,2025년 1회,금속커튼월의 성능시험관련 실물모형시험(Mock-Up Test)의 시험항목을 4가지 쓰시오.,① 기밀성능 시험 ② 수밀성능 시험 ③ 구조성능 시험 ④ 영구변형 시험,커튼월의 현장 설치 전 풍압 및 누수 등에 대한 성능을 검증하는 시험입니다[cite: 3].
기초공사,지반조사 및 흙막이공법,2025년 1회,SPS(Strut as Permanent System) 공법의 특징을 3가지 쓰시오.,① 가설지지체 설치 및 해체공정 불필요 ② 작업공간의 확보 유리 ③ 지반의 상태와 관계없이 시공 가능,영구 철골 스트럿을 활용하여 흙막이와 골재 공사를 병행하는 탑다운 관련 공법입니다[cite: 3].
마감공사,방수공사,2025년 1회,조적조를 바탕으로 하는 지상부 건축물의 외부벽면 방수방법의 내용을 3가지 쓰시오.,① 시멘트모르타르계 방수 ② 규산질계 도포 방수 ③ 발수제 도포 방수,지상부 외벽의 빗물 침투를 막기 위한 방수 공법 종류입니다[cite: 3].
기초공사,지반조사 및 흙막이공법,2025년 1회,히빙(Heaving) 현상과 보일링(Boiling) 현상을 간단히 설명하시오.,(1) 히빙: 흙막이 벽 양쪽 토압 차이로 밑으로 흙이 미끄러져 들어오는 현상 (2) 보일링: 뒷면 수위 차이로 바닥에서 물이 솟아오르는 현상,연약지반 굴착 시 발생하는 대표적인 흙막이 부실 원인입니다[cite: 3].
기초공사,기초구조 및 지내력,2025년 1회,평판재하시험의 침하종료 기준(하중 배수 및 누적 침하량 기준)을 기입하시오.,허용하중의 3배 이상이거나 누적 침하가 재하판 지름의 10%를 초과하는 경우,지내력 시험 시 시험 종료 조건을 묻는 기준입니다[cite: 3].
콘크리트공사,콘크리트 재료 및 혼화재료,2025년 1회,골재의 흡수량과 함수량에 대해 간단히 설명하시오.,(1) 흡수량: 표건상태 골재 내부에 포함되는 물의 양 (2) 함수량: 습윤상태 골재 내외부에 함유된 전체 물의 양,골재의 상태별 수분 함유량을 정의하는 문제입니다[cite: 3].
철근콘크리트공사,철근콘크리트 구조설계,2025년 1회,1방향 슬래브와 2방향 슬래브를 구분하는 기준에 대해 설명하시오.,(1) 1방향 슬래브: 장변/단변 > 2 (2) 2방향 슬래브: 장변/단변 ≤ 2,슬래브의 변장비에 따른 하중 전달 방향 구분 기준입니다[cite: 3].
철골공사,철골부재 제작 및 현장설치,2025년 1회,강재 종류 중 SM355에서 SM과 355가 의미하는 바를 각각 쓰시오.,(1) SM: 용접구조용 압연강재 (2) 355: 항복강도 Fy = 355 MPa,신강종 표기법에 따른 강재 종류 및 강도 기준입니다[cite: 3].
철골공사,철골부재 제작 및 현장설치,2025년 1회,강구조에서 메탈터치(Metal Touch)에 대한 개념을 설명하시오.,기둥 이음부를 가공하여 상하부 밀착을 좋게 하고 축력의 50%까지 직접 전달시키는 이음방법,압축력을 받는 철골 기둥 이음의 밀착 시공 개념입니다[cite: 3].
건축적산,입찰 및 계약,2025년 2회,공사현장이 소재하는 지역에 주된 사무소를 두고 있는 건설업체만을 대상으로 경쟁입찰에 부치도록 하는 입찰방식의 명칭을 쓰시오.,지역제한경쟁입찰,지역 중소 건설업체 보호 및 육성을 위한 대표적인 입찰 방식입니다[cite: 2].
기초공사,지반조사 및 흙막이공법,2025년 2회,슬러리월(Slurry Wall) 공법의 장점과 단점을 각각 2가지씩 쓰시오.,(1) 장점: ① 벽체의 강성 및 차수성이 크다. ② 소음 및 진동이 적다. (2) 단점: ① 패널간 조인트로 수평연속성이 부족하다. ② 공사비가 비교적 고가이다.,지하 연속벽 공법으로 도심지 인접 공사에 유리하나 비용이 높고 조인트 부위 시공 주의가 필요합니다[cite: 2].
가설공사,가설공사 일반,2025년 2회,다음 용어를 간단히 설명하시오. (1) 슬라이딩폼 (2) 터널폼,(1) 슬라이딩폼: 거푸집을 연속으로 이동시키며 타설하여 시공이음이 없는 거푸집 (2) 터널폼: 한 구획 전체의 벽판과 바닥판을 ㄷ/ㄱ자형으로 짜는 거푸집,공기 단축 및 콘크리트 품질 향상을 위해 사용되는 대형 거푸집 종류입니다[cite: 2].
가설공사,가설공사 일반,2025년 2회,금속판 지붕잇기의 종류 4가지를 쓰시오.,① 돌출 잇기 지붕 ② 기와가락 잇기 지붕 ③ 평 잇기 지붕 ④ 계단식 잇기 지붕,금속판 종류에 따른 다양한 지붕 이음 공법입니다[cite: 2].
기초공사,지반조사 및 흙막이공법,2025년 2회,인접 건물보다 깊게 터파기를 했을 경우 인접 건물 주위 지반이 침하할 수 있는 원인을 3가지 쓰시오.,① 히빙(Heaving) ② 보일링(Boiling) ③ 파이핑(Piping),연약지반 굴착 시 토압 불균형 및 지하수 흐름으로 발생하는 대표적인 지반 파괴 원인들입니다[cite: 2].
콘크리트공사,콘크리트 성질 및 시험,2025년 2회,슈미트해머로 압축강도 추정 시 반발경도 조사 후 실시하는 보정방안 3가지를 쓰시오.,① 타격방향에 의한 보정 ② 콘크리트 건조상태에 의한 보정 ③ 재령(Age)에 의한 보정계수의 적용,측정 조건에 따른 오차를 줄이기 위한 필수 보정 요소입니다[cite: 2].
철근콘크리트공사,철근공사,2025년 2회,다음 철근의 정착위치를 쓰시오. (1) 기둥 (2) 큰보 (3) 작은보,(1) 기둥: 기초 (2) 큰보: 기둥 (3) 작은보: 큰보,부재 간 응력 전달을 위한 주근 정착 기준입니다[cite: 2].
철골공사,철골부재 제작 및 현장설치,2025년 2회,강구조공사에서 용접부의 비파괴 시험방법의 종류를 2가지 쓰시오.,① 방사선 투과법 ② 초음파 탐상법,용접 내부 결함을 확인하기 위한 비파괴 검사 방법입니다[cite: 2].
가설공사,가설공사 일반,2025년 2회,시공계획서 제출 시 환경관리 및 친환경관리에 대해 제출해야 할 서류에 포함될 내용을 4가지 쓰시오.,① 건설폐기물 저감 및 재활용계획 ② 산업부산물 재활용계획 ③ 온실가스 배출 저감 계획 ④ 천연자원 사용 저감 계획,친환경 건설 현장 조성을 위한 필수 계획 서류 항목입니다[cite: 2].
조적공사,벽돌공사,2025년 2회,한국산업규격(KS)에 명시된 속빈블록의 치수를 3가지 쓰시오.,① 390×190×100mm ② 390×190×150mm ③ 390×190×190mm,표준 속빈블록의 길이×높이×두께 규격입니다[cite: 2].
가설공사,가설공사 일반,2025년 2회,탑다운 공법에서 작업공간이 협소한 부지를 넓게 쓸 수 있는 이유를 기술하시오.,1층 슬래브가 먼저 타설되어 작업공간으로 활용이 가능하기 때문이다.,지하 지중 구조물을 시공하기 전 1층 바닥을 선시공하여 작업장으로 활용하는 장점입니다[cite: 2].
콘크리트공사,콘크리트 시공,2025년 2회,레미콘 송장 표기(보통 25-24-150)의 의미를 각각 쓰시오.,(1) 보통: 콘크리트 종류 (2) 25mm: 굵은골재 최대치수 (3) 24MPa: 호칭강도 (4) 150mm: 슬럼프,레미콘 주문서 규격 표기의 각 항목별 의미입니다[cite: 2].
가설공사,안전관리,2025년 2회,다음이 설명하는 용어를 쓰시오. (1) 낙하물방지망 (2) 방호선반,(1) 낙하물방지망: 자재 등의 낙하 피해 방지용 망 (2) 방호선반: 낙하물 재해 방지를 위해 판재 등으로 설치하는 가설물,건축 현장 안전 관리를 위한 가설 시설물 명칭입니다[cite: 2].
구조역학,지진구조 및 내진설계,2025년 2회,지진력 저항시스템인 내력벽시스템과 모멘트골조시스템을 내진 성능과 관련지어 설명하시오.,(1) 내력벽시스템: 수직 및 횡하중을 벽체가 지지 (2) 모멘트골조시스템: 보와 기둥으로 구성된 골조가 저항,지진하중에 저항하는 주요 구조 시스템의 정의입니다[cite: 2].
철근콘크리트공사,철근콘크리트 구조설계,2025년 2회,지상 2층 건물 기둥(C2)의 1층에 발생하는 계수하중에 의한 축력(kN)을 구하시오.,574.656 kN (지배),고정하중과 활하중을 산정하고 계수하중 조합식을 적용하여 기둥 축력을 구하는 구조 계산 문제입니다[cite: 2].
철골공사,철골부재 제작 및 현장설치,2024년 3회,철골공사 용접 시 발생하는 라멜라 테어링(Lamellar Tearing)에 대해 간단히 설명하시오.,용접에 의해 판 두께방향으로 강한 인장구속력이 발생하여 강판 층 사이에 계단모양의 박리균열이 생기는 현상,T형 이음이나 구석이음 등에서 두께 방향 인장 응력으로 인해 발생합니다[cite: 4].
콘크리트공사,콘크리트 시공,2024년 3회,콘크리트 구조물 화재 시 고열로 발생하는 폭렬(Explosive Fracture) 현상 방지 대책을 2가지 쓰시오.,① 합성섬유(유기섬유) 혼입 ② 콘크리트 피복두께 증가 (또는 내화피복 등 중 택2),고강도 콘크리트의 내부 수증기 압력 상승을 막기 위한 방안입니다[cite: 4].
